Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.108885138044438,0.0585567936495662,-0.142308649679038,0,0,0,5.32485366509136,0.0219378727233069,-4.0175156182501E-06,-1.47975198134051E-06,0.023203020823872,-7.80337093935826E-06,0.0149047739346839,0,0,0,0,0,0,package://05149/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://05149/meshes/Body.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://05149/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://05149/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.31516,0.026427,-0.050812,-1.8784,0,-3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012316,0,3.4694E-18,0,0,0,0.19359,0.00025308,-2.207E-23,8.8772E-22,0.00013682,0,0.00013682,0,0,0,0,0,0,package://05149/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://05149/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,-1.8707,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://05149/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://05149/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.10492,0.026427,-0.012128,1.2632,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012316,-3.4694E-18,6.9389E-18,0,0,0,0.19359,0.00025308,1.5215E-21,2.9081E-21,0.00013682,-1.6941E-20,0.00013682,0,0,0,0,0,0,package://05149/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://05149/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-0.70714,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,-4.8067E-21,2.2036E-20,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://05149/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://05149/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.31516,0.01777,-0.23081,-1.8784,0,3.1416,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.000464526735874993,-0.0408313152633741,0,0,0,0,0.0433962459602619,2.11800424724879E-05,5.53822046363831E-07,-1.12496563307212E-22,1.76453344713605E-06,-5.86098823024448E-21,2.14947085785555E-05,0,0,0,0,0,0,package://05149/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05149/meshes/LBC.STL,,CastleCatcher_small_wheel-3,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,-0.0013926,3.1372,LBS,0,1,0,,,,,,,,,,,,
LBW,0.00647305835345524,0,0,0,0,0,0.0368891747697499,1.67269024516251E-05,-6.0384184716371E-22,6.31965987990513E-21,8.87926239042531E-06,-3.17637355220363E-22,8.87926239042531E-06,0,0,0,0,0,0,package://05149/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://05149/meshes/LBW.STL,,wheel_small-2,Origin_LBW,Axis_LBW,LBW,continuous,0.0095003,-0.068304,0,-2.9662,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.075402,-0.020601,0.012626,0,0,0,0.19701,1.688E-05,1.0289E-20,-2.4348E-20,5.0218E-05,1.0509E-06,4.7245E-05,0,0,0,0,0,0,package://05149/meshes/RBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://05149/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.099161,0.01777,-0.19919,1.2632,0,0,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.000464526735875062,-0.0408313152633741,-5.55111512312578E-17,0,0,0,0.0433962459602619,2.1180042472488E-05,5.53822046363839E-07,-2.76211423985068E-22,1.76453344713605E-06,-3.31823183840333E-21,2.14947085785555E-05,0,0,0,0,0,0,package://05149/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://05149/meshes/RBC.STL,,CastleCatcher_small_wheel-4,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
RBW,0.00647333333471937,-5.55111512312578E-17,-5.55111512312578E-17,0,0,0,0.0368891747697499,1.67269024516251E-05,-2.32726892683381E-21,-4.86067499904064E-21,8.8792623904253E-06,-8.470329472543E-22,8.8792623904253E-06,0,0,0,0,0,0,package://05149/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://05149/meshes/RBW.STL,,wheel_small-1,Origin_RBW,Axis_RBW,RBW,continuous,0.0095,-0.068304,0,0.99137,0,0,RBC,1,0,0,3.1,7,,,,,,,,,,
front_cam,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://05149/meshes/front_cam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://05149/meshes/front_cam.STL,,Webcam_C920-2,Origin_front_cam,,front_cam,fixed,0.058161,0.069504,-0.080278,0,0,0,Body,0,0,0,,,,,,,,,,,,
